Date,Open,High,Low,Close,Volume
12-Mar-18,185.23,186.1,184.22,184.76,15037350
9-Mar-18,183.91,185.51,183.21,185.23,18526292
8-Mar-18,183.56,184.4,181.45,182.34,17225946
7-Mar-18,178.74,183.82,178.07,183.71,19097293
6-Mar-18,181.78,182.38,179.11,179.78,15086784
5-Mar-18,176.2,181.15,175.89,180.4,16189280
2-Mar-18,173.29,177.11,172.99,176.62,20025905
1-Mar-18,179.01,180.12,174.41,175.94,23201626
