Date,Open,High,Low,Close,Volume
12-Mar-18,328.61,347.21,326.5,345.51,8246258
9-Mar-18,324.1,328.49,322.37,327.17,5506764
8-Mar-18,332.86,333.3,326.27,329.1,3566244
7-Mar-18,325.44,332.5,321.74,332.3,5007297
6-Mar-18,333.75,336.37,327.03,328.2,4285744
5-Mar-18,332.39,337.75,329.29,333.35,3823769
2-Mar-18,326.98,335.22,322.97,335.12,5092829
1-Mar-18,345.01,348.67,330.07,330.93,6885601
